Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
34,Keita Bates-Diop,SF,28,PHO,39,597,11.3,0.525,0.427,0.24,6,12.8,9.6,7.4,1.8,3,7.3,13,,0.4,0.7,1.1,0.089,,-1.5,0.3,-1.2,0.1
34,Keita Bates-Diop,SF,28,BRK,14,68,13.4,0.617,0.313,0.375,1.6,13.2,7.2,8.1,2.2,2.7,9.7,13.2,,0.1,0.1,0.2,0.112,,-1.3,1.5,0.2,0
35,Nicolas Batum,PF,35,TOT,60,1529,10.2,0.603,0.723,0.082,5,13.1,9,10.7,1.5,2.3,13.1,8.6,,1.7,1.6,3.3,0.103,,-1.3,0.8,-0.4,0.6
35,Nicolas Batum,PF,35,LAC,3,54,9.8,0.5,0.875,0,0,14.2,7.3,11.2,2.7,6.7,11.1,7.3,,0,0.1,0.1,0.091,,-1.5,4.4,2.8,0.1
35,Nicolas Batum,PF,35,PHI,57,1475,10.3,0.606,0.718,0.085,5.1,13,9,10.6,1.5,2.1,13.2,8.7,,1.6,1.5,3.2,0.104,,-1.3,0.7,-0.5,0.5
36,Darius Bazley,PF,23,TOT,9,152,13.9,0.68,0.267,0.4,5.8,14.4,10.1,6,1.9,4.1,18.5,11.9,,0.2,0.1,0.3,0.084,,-0.9,0.5,-0.4,0.1
36,Darius Bazley,PF,23,PHI,3,10,-1.6,0,0,0,0,11.2,5.5,23.2,0,0,50,8.6,,0,0,0,-0.142,,-7.7,-0.7,-8.4,0
36,Darius Bazley,PF,23,UTA,6,142,14.9,0.7,0.276,0.414,6.3,14.6,10.5,4.7,2,4.4,17,12.2,,0.2,0.1,0.3,0.1,,-0.4,0.6,0.2,0.1
37,Bradley Beal,SG,30,PHO,53,1767,16.3,0.607,0.32,0.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,,2.4,1.5,3.9,0.107,,0.9,-0.6,0.4,1.1
38,Malik Beasley,SG,27,MIL,79,2337,10.3,0.603,0.751,0.048,2,11.4,6.8,6.1,1.2,0.3,6.8,14.6,,1.9,1.6,3.5,0.073,,-1,-0.8,-1.8,0.1
39,MarJon Beauchamp,SF,23,MIL,48,608,9.7,0.592,0.452,0.169,4.1,13.6,8.9,6.7,1,1,13.2,14.6,,0.2,0.5,0.7,0.056,,-2.3,-0.9,-3.2,-0.2
40,Jules Bernard,SG,24,WAS,19,149,12.7,0.544,0.453,0.141,7,11.8,9.3,15.4,0.9,0.5,10.5,21.5,,0,0,0.1,0.026,,-0.6,-2.5,-3,0
41,D_vis Bert_ns,PF,31,TOT,43,674,11.6,0.583,0.855,0.141,1.5,8.8,5.1,7.2,1.9,1.7,6.8,17.4,,0.5,0.4,0.9,0.061,,-0.8,-0.6,-1.4,0.1
41,D_vis Bert_ns,PF,31,OKC,15,91,17.3,0.675,0.923,0.577,2.5,9.4,6.1,12.2,1.6,3.1,3,16,,0.3,0.1,0.4,0.229,,3.2,0.8,4,0.1
41,D_vis Bert_ns,PF,31,CHO,28,583,10.7,0.57,0.846,0.087,1.3,8.7,4.9,6.5,1.9,1.4,7.3,17.7,,0.2,0.3,0.4,0.034,,-1.4,-0.8,-2.3,0
42,Patrick Beverley,PG,35,TOT,73,1462,11.6,0.539,0.478,0.237,3.7,14.3,9,19,1.4,1.9,13.4,14.3,,1.2,1.5,2.7,0.09,,-1.5,0.5,-1.1,0.3
42,Patrick Beverley,PG,35,PHI,47,919,11.7,0.547,0.452,0.261,3.5,14.1,8.7,21,1.3,1.8,15.4,14.9,,0.7,0.9,1.7,0.087,,-1.5,0,-1.5,0.1
42,Patrick Beverley,PG,35,MIL,26,543,11.4,0.524,0.522,0.196,3.9,14.8,9.5,15.8,1.7,2,9.6,13.2,,0.5,0.6,1.1,0.095,,-1.6,1.2,-0.4,0.2
43,Saddiq Bey,SF,24,ATL,63,2062,13.1,0.549,0.514,0.291,8.5,13.4,10.9,6,1.2,0.5,6.4,17,,2.8,0.7,3.5,0.081,,0.1,-2,-1.8,0.1
44,Goga Bitadze,C,24,ORL,62,957,17.8,0.629,0.067,0.416,13.3,21.9,17.5,11.7,1.7,7,15.1,13.3,,1.8,1.9,3.7,0.186,,-0.7,2.8,2.1,1
